"KPI";"Industry";"Estimate";"Std_Error";"Test_Statistic";"P_Value";"Signifikanz";"R_Squared"
"Loyalty";"beauty & health online shop market";" 5,588255";"1,40317";" 3,98259";"6,8170e-05";"***";"0,55850913"
"Loyalty";"Sonnenbrillen";" 4,072827";"2,18708";" 1,86222";"6,2572e-02";".";"0,19192880"
"Loyalty";"Outdoor-Mode";" 3,949290";"1,67382";" 2,35944";"1,8302e-02";"*";"0,27020195"
"Loyalty";"Laundry Detergent (Waschmittel)";" 3,882056";"1,60497";" 2,41878";"1,5573e-02";"*";"0,36020642"
"Loyalty";"Sauce & condiment market";" 3,734740";"1,81864";" 2,05359";"4,0015e-02";"*";"0,18693659"
"Loyalty";"Online Grocery & Meal Delivery";" 3,648115";"0,80313";" 4,54237";"5,5625e-06";"***";"0,58551942"
"Loyalty";"Sneakers/Sportschuhe";" 3,555948";"1,15227";" 3,08604";"2,0284e-03";"**";"0,40112167"
"Loyalty";"Sport & Outdoor Online-Shop Markt";" 3,551833";"1,27908";" 2,77686";"5,4888e-03";"**";"0,38050728"
"Loyalty";"Consumer electronics online shop";" 3,343193";"0,93650";" 3,56989";"3,5713e-04";"***";"0,46839458"
"Loyalty";"Rasierer & Klingen";" 3,328652";"1,58527";" 2,09973";"3,5752e-02";"*";"0,28884362"
"Loyalty";"Grocery stores (Lebensmittelläden)";" 3,202413";"0,82164";" 3,89760";"9,7152e-05";"***";"0,59965688"
"Loyalty";"Protein-Shakes & trinkfertige Mahlzeiten";" 3,159626";"1,21630";" 2,59774";"9,3839e-03";"**";"0,29408425"
"Loyalty";"Sportswear";" 3,149681";"0,86374";" 3,64657";"2,6576e-04";"***";"0,47508972"
"Loyalty";"Organic food (Bio-Lebensmittel)";" 3,071642";"1,83591";" 1,67309";"9,4310e-02";".";"0,15080946"
"Loyalty";"Online-Shop für Heimtierbedarf";" 2,955325";"1,38843";" 2,12853";"3,3293e-02";"*";"0,31496840"
"Loyalty";"Fleischersatzprodukte";" 2,932944";"0,88127";" 3,32807";"8,7450e-04";"***";"0,42961925"
"Loyalty";"Retail store market";" 2,908738";"0,74370";" 3,91115";"9,1856e-05";"***";"0,44603154"
"Loyalty";"Household Cleaners (Haushaltsreiniger)";" 2,887125";"1,78584";" 1,61668";"1,0595e-01";"";"0,13321291"
"Loyalty";"Männerkosmetik";" 2,864194";"1,07078";" 2,67486";"7,4761e-03";"**";"0,34119938"
"Loyalty";"Second-hand apparel online shops";" 2,825668";"1,59401";" 1,77268";"7,6281e-02";".";"0,28591270"
"Loyalty";"Flaschenwasser (Bottled water)";" 2,692227";"1,07760";" 2,49835";"1,2477e-02";"*";"0,31853022"
"Loyalty";"Spirituosen";" 2,631912";"0,73149";" 3,59802";"3,2065e-04";"***";"0,42509620"
"Loyalty";"Food supplement market";" 2,608961";"1,44250";" 1,80864";"7,0506e-02";".";"0,13680154"
"Loyalty";"Kosmetik & Make-up";" 2,450578";"1,40473";" 1,74453";"8,1068e-02";".";"0,21407085"
"Loyalty";"Ice Cream Market";" 2,432139";"1,28048";" 1,89939";"5,7513e-02";".";"0,22981011"
"Loyalty";"Swim wear (Bademode)";" 2,300581";"1,59031";" 1,44663";"1,4800e-01";"";"0,14280607"
