KPI;Industry;Estimate;Std_Error;Test_Statistic;P_Value;Signifikanz;R_Squared
Awareness;OTC medication;14,454908;2,19366;6,589413;4,42E-11;***;0,62527337
Awareness;Waschmaschinen;14,283902;2,19266;6,514419;7,30E-11;***;0,77652627
Awareness;Möbel-Onlineshops;13,388033;2,08353;6,425655;1,31E-10;***;0,71015699
Awareness;Kühlschrankmarkt;13,120625;2,97292;4,413381;1,02E-05;***;0,63033666
Awareness;Car & motorcycle online shop;11,230572;1,99751;5,622277;1,88E-08;***;0,62840288
Awareness;Smart Home;11,02882;3,0147;3,658347;2,54E-04;***;0,45613833
Awareness;Antivirus & security software;10,631716;4,39115;2,421168;1,55E-02;*;0,28817471
Awareness;Premium fashion;10,339363;2,50607;4,125721;3,70E-05;***;0,48604193
Awareness;Jewelry market;10,252439;2,4336;4,21287;2,52E-05;***;0,54598947
Awareness;E-Mail-Anbieter;10,212916;2,8105;3,633848;2,79E-04;***;0,48734563
Awareness;digital payment;10,008132;1,96454;5,094391;3,50E-07;***;0,72544222
Awareness;Dating Services;9,463317;1,7228;5,492986;3,95E-08;***;0,64738357
Awareness;Luxusmode;9,055781;2,53416;3,573489;3,52E-04;***;0,43791531
Awareness;Hair care;8,911529;2,64989;3,362981;7,71E-04;***;0,40903294
Awareness;Jewelry retailer (Schmuckhändler);8,900445;2,7397;3,248695;1,16E-03;**;0,47643218
Awareness;Möbelhäuser (Furniture stores);8,647519;1,33602;6,472588;9,63E-11;***;0,82070728
Awareness;Gaming hardware & peripheral market;7,809589;1,23983;6,298902;3,00E-10;***;0,71296232
Awareness;Gas stations & e-chargers;7,34922;3,28716;2,235738;2,54E-02;*;0,32685852
Awareness;Kopfhörermarkt;6,740243;3,04808;2,21131;2,70E-02;*;0,2315752
Awareness;Online Betting (Online-Wetten);6,627578;1,63178;4,061552;4,87E-05;***;0,52314397
Awareness;Krankenversicherung;6,553538;1,39506;4,697689;2,63E-06;***;0,67595486
Awareness;Kryptowährungen;6,538262;1,17989;5,541412;3,00E-08;***;0,58563308
Awareness;Car insurance;6,445379;1,30398;4,942837;7,70E-07;***;0,70299277
Awareness;AI tool market;6,272133;0,78069;8,034095;9,43E-16;***;0,77472193
Awareness;Food processors (Küchenmaschinen);6,21628;2,85417;2,177965;2,94E-02;*;0,24804693
Awareness;Staubsauger;5,877914;2,21051;2,659074;7,84E-03;**;0,24997156
